name,count,type,is_ambiguous
aqua_brooch,1,general,False
aqua_dress,3076,general,False
aqua_eyes,156756,general,True
aqua_flower,826,general,False
aqua_footwear,1123,general,False
aqua_gloves,910,general,False
aqua_hair,99193,general,False
aqua_hairband,476,general,False
aqua_jacket,1466,general,False
aqua_kimono,613,general,False
aqua_leotard,590,general,False
aqua_nails,8708,general,False
aqua_necktie,6189,general,False
aqua_panties,1699,general,False
aqua_ribbon,2679,general,False
aqua_robe,15,general,False
aqua_rose,161,general,False
aqua_sash,72,general,False
aqua_scarf,311,general,False
aqua_shirt,3695,general,False
aqua_shorts,480,general,False
aqua_skin,350,general,False
aqua_skirt,3702,general,False
aqua_theme,1719,general,False
aqua_vest,502,general,False
aquact,2,general,False
aquarium,1222,general,False
ar-15,587,general,False
ar_(code_geass),4,character,False
ar_(rikuesuto),296,artist,False
ara1e,26,artist,False
arabian_clothes,3378,general,False
arachne,996,general,False
aragaki_shinjirou,717,character,False
aragami_oga,299,character,False
arai_nobu,284,artist,False
arakawa_shuuji,11,general,False
arakawa_tarou,232,artist,False
araki_(utaite),13,general,False
aramaa,31,artist,False
aran_legwear,18,general,False
aran_sweater,3802,general,False
aranara_(genshin_impact),422,character,False
aranea_serket,7,character,False
aranranrock,6,artist,False
ararycan_(genshin_impact),24,character,False
arcade,698,general,False
arcane:_league_of_legends,1100,copyright,False
arcane_jinx,410,character,False
arcane_vi,280,character,False
arcee,398,character,False
arch,2070,general,False
archaic_set_(zelda),76,general,False
archangel_lucifer,16,character,False
archangel_lucifer_(p&d),2,character,False
archangel_metatron_(p&d),98,character,False
archangel_michael_(p&d),13,character,False
archangel_uriel_(p&d),5,character,False
arched_back,21401,general,False
arched_bangs,91,general,False
archen,94,character,False
archer_(fate),5170,character,False
archetype_earth,308,character,False
architect_(girls'_frontline),378,character,False
architecture,9353,general,False
archnemon,354,character,False
